Student Name,Student ID,Attendance Percentage,Previous Exam Score,Previous Semester Score,Assignment Score,Internal Assessment Score,Study Hours per Day,Class Participation Percentage,Sleep Hours per Day,Final Exam Score
Student_124,1124,71.0,70.7,77.5,80.1,74.9,4.9,82.0,5.7,75.0
Student_125,1125,90.9,73.3,93.4,86.1,87.0,3.9,95.6,8.5,85.6
Student_126,1126,100.0,83.9,65.7,80.6,71.9,3.6,81.6,9.0,79.8
Student_127,1127,75.1,52.1,89.1,85.7,76.6,4.7,64.4,7.2,74.3
Student_128,1128,79.3,90.8,93.0,71.9,85.9,4.4,55.8,5.7,83.6
Student_129,1129,86.0,75.9,65.2,85.7,89.7,3.6,72.2,6.3,76.2
Student_130,1130,80.0,70.1,57.5,89.9,72.8,1.7,83.1,6.1,69.1
Student_131,1131,69.5,73.9,78.6,92.2,97.6,3.3,64.2,5.5,76.8
Student_132,1132,85.7,74.5,68.4,100.0,81.1,2.3,65.6,6.8,75.7
Student_133,1133,74.4,54.2,97.4,82.4,67.6,3.0,100.0,7.9,76.0
Student_134,1134,89.7,92.9,75.4,82.7,81.7,4.0,86.2,7.7,84.1
Student_135,1135,75.8,75.5,65.4,64.8,74.2,4.5,87.3,7.0,72.9
Student_136,1136,100.0,80.3,61.2,74.7,82.3,6.7,48.1,7.1,78.7
Student_137,1137,77.2,86.4,88.1,78.1,77.6,3.2,59.4,6.9,80.4
Student_138,1138,81.8,62.7,68.1,90.5,78.7,5.2,71.1,5.1,73.2
Student_139,1139,93.1,80.7,75.5,73.9,68.9,4.5,55.0,7.2,78.2
Student_140,1140,72.7,71.8,86.5,88.0,87.9,5.9,94.0,6.1,81.7
Student_141,1141,87.3,85.2,69.2,80.0,66.4,4.9,91.2,5.0,78.3
Student_142,1142,98.1,49.5,74.4,78.2,66.9,2.5,62.0,7.6,69.6
Student_143,1143,68.9,73.8,74.8,82.5,81.7,1.4,96.8,6.1,73.2
Student_144,1144,86.8,67.8,83.2,76.1,94.0,4.5,69.9,7.3,79.5
Student_145,1145,87.6,80.2,82.1,75.7,74.5,3.2,100.0,8.3,81.1
Student_146,1146,92.8,80.6,72.4,63.0,85.0,2.5,72.2,5.6,75.9
Student_147,1147,72.6,66.5,75.8,77.5,88.7,2.1,78.6,7.1,72.6
Student_148,1148,71.8,66.5,70.5,75.2,86.1,4.2,91.0,4.3,72.0
Student_149,1149,90.2,73.7,57.3,74.8,74.9,6.3,89.2,9.3,76.7
Student_150,1150,88.0,64.2,78.1,84.2,67.1,3.4,77.7,5.0,73.7
Student_151,1151,87.5,85.1,97.7,86.6,55.9,4.9,67.9,6.2,84.5
Student_152,1152,88.5,70.6,64.4,82.3,75.4,3.8,77.7,9.0,75.0
Student_153,1153,78.2,40.1,65.7,90.0,89.8,2.1,57.8,6.6,64.5
Student_154,1154,87.3,70.5,64.6,85.8,66.8,5.1,72.3,5.2,73.5
Student_155,1155,87.9,62.5,83.7,77.0,85.0,2.4,53.4,8.1,75.0
Student_156,1156,77.9,55.4,80.4,75.4,68.5,4.0,43.3,8.0,70.2
Student_157,1157,100.0,60.2,73.1,83.1,79.1,3.5,70.8,6.1,74.7
Student_158,1158,89.7,76.3,64.0,85.7,85.1,5.3,88.9,6.2,78.5
Student_159,1159,73.1,90.9,76.1,94.0,71.4,2.4,83.9,6.3,79.0
Student_160,1160,91.6,78.8,56.2,91.9,79.7,4.6,68.8,6.7,76.1
Student_161,1161,75.3,67.7,76.7,74.6,73.8,2.7,96.2,4.2,71.9
Student_162,1162,92.9,80.5,85.5,79.0,85.1,3.2,61.5,6.7,81.4
Student_163,1163,96.6,69.5,60.0,86.7,80.4,0.0,41.2,9.7,70.5
Student_164,1164,76.8,66.7,56.6,90.7,78.6,7.1,37.3,5.7,71.1
Student_165,1165,94.6,61.1,94.0,89.4,93.6,4.8,52.3,6.1,81.7
Student_166,1166,89.1,54.0,67.7,79.4,84.6,2.8,82.2,5.2,69.7
Student_167,1167,93.2,70.3,88.6,67.5,71.1,2.3,60.5,7.9,76.8
Student_168,1168,100.0,76.9,73.2,70.0,77.1,3.3,76.9,8.8,78.8
Student_169,1169,82.5,73.8,73.1,82.7,77.2,5.1,94.7,8.8,79.4
Student_170,1170,77.5,70.0,80.3,83.4,78.8,1.2,53.5,5.1,71.8
Student_171,1171,76.1,63.7,64.4,69.0,100.0,3.8,77.2,7.7,71.8
Student_172,1172,76.8,82.3,76.6,80.4,81.7,6.7,78.1,9.2,82.7
Student_173,1173,84.2,59.2,70.4,86.3,57.6,2.3,57.1,7.8,68.4
Student_174,1174,88.4,84.3,59.2,68.5,72.6,4.1,90.3,7.7,75.7
Student_175,1175,87.8,63.0,79.0,91.0,58.7,7.3,65.7,6.3,77.4
Student_176,1176,93.3,66.0,71.8,76.2,74.7,4.9,64.2,7.3,75.3
Student_177,1177,85.1,57.4,73.1,92.6,58.1,4.2,100.0,8.9,74.2
Student_178,1178,99.5,69.0,60.5,74.7,69.3,4.8,77.8,7.5,74.3
Student_179,1179,82.4,86.7,94.1,69.7,62.8,3.4,83.9,5.1,80.9
Student_180,1180,100.0,81.2,85.5,75.4,81.8,5.9,90.3,6.3,86.0
Student_181,1181,91.3,86.7,86.6,79.0,78.0,3.4,60.2,8.8,83.5
Student_182,1182,76.4,81.3,71.3,76.1,81.0,1.1,88.7,7.5,74.7
Student_183,1183,74.3,61.8,54.2,77.8,77.0,3.4,62.5,7.2,65.8
Student_184,1184,89.8,71.0,98.4,83.3,64.1,2.5,61.8,6.2,79.3
Student_185,1185,82.8,65.6,74.3,78.3,83.1,3.6,65.9,8.8,74.8
Student_186,1186,92.1,91.0,66.0,79.3,97.2,3.6,60.7,9.5,82.1
Student_187,1187,89.7,60.6,80.0,62.9,82.1,5.8,82.3,8.9,77.5
Student_188,1188,84.3,85.7,89.0,83.9,73.7,5.0,74.0,9.2,85.4
Student_189,1189,76.5,85.7,74.7,79.1,63.7,4.4,62.6,6.5,76.6
Student_190,1190,69.9,97.0,90.3,96.1,68.9,4.0,80.1,6.2,84.9
Student_191,1191,80.5,70.1,88.0,70.6,82.5,2.4,65.9,6.8,76.1
Student_192,1192,93.6,83.5,62.1,61.9,88.7,0.7,65.1,7.1,73.1
Student_193,1193,87.1,100.0,66.9,86.2,80.6,4.2,70.7,9.1,83.7
Student_194,1194,72.5,67.6,86.5,83.5,86.0,5.2,77.0,8.7,79.8
Student_195,1195,86.7,56.6,42.4,69.9,85.1,3.8,75.8,7.8,64.7
Student_196,1196,88.9,52.4,73.2,64.7,83.1,3.2,64.6,4.9,68.3
Student_197,1197,76.2,83.6,57.8,95.4,71.4,4.7,82.7,4.5,74.6
Student_198,1198,86.5,52.4,69.3,94.1,79.7,3.9,66.7,7.4,71.7
Student_199,1199,85.6,70.5,71.4,55.1,69.5,6.5,60.2,8.3,74.4
Student_200,1200,73.6,80.2,70.7,75.4,78.2,5.8,48.0,6.9,75.7
Student_201,1201,88.6,77.2,68.4,96.6,81.3,5.4,84.7,9.9,82.0
Student_202,1202,90.6,80.1,61.8,75.2,94.8,5.1,70.2,5.4,77.3
Student_203,1203,95.8,77.7,100.0,75.1,64.9,2.1,73.2,5.2,81.1
Student_204,1204,95.5,90.3,97.4,77.2,82.8,5.0,85.7,6.0,89.5
Student_205,1205,71.2,63.6,61.1,68.8,92.8,4.6,62.8,5.9,68.7
Student_206,1206,75.6,66.9,94.0,63.0,85.6,4.9,49.4,7.8,77.7
Student_207,1207,90.2,65.7,70.2,90.5,86.3,4.7,71.0,6.4,76.7
Student_208,1208,90.1,85.0,76.6,61.6,83.9,4.7,74.6,4.7,79.3
Student_209,1209,90.2,85.8,74.2,82.5,91.0,8.1,66.1,8.3,86.4
Student_210,1210,100.0,80.4,67.1,88.9,67.1,3.9,92.1,4.4,78.2
Student_211,1211,90.7,89.2,86.8,65.5,64.1,5.4,32.7,5.4,80.3
Student_212,1212,96.4,60.9,76.5,70.8,77.9,3.3,86.8,4.6,73.6
Student_213,1213,94.5,95.0,69.3,92.1,56.4,5.2,81.9,7.3,83.1
Student_214,1214,91.5,93.3,59.3,85.3,90.3,5.4,76.9,7.3,82.2
Student_215,1215,81.8,83.8,64.3,73.8,90.2,4.5,20.0,9.9,76.1
Student_216,1216,92.6,96.4,55.3,92.0,73.7,6.5,89.3,8.4,83.5
Student_217,1217,77.3,55.1,75.1,92.1,74.3,2.7,54.6,9.2,70.8
Student_218,1218,82.6,68.7,60.6,82.7,77.3,3.3,62.4,7.4,70.8
Student_219,1219,80.1,66.2,71.8,71.0,78.5,4.3,67.4,5.5,71.9
Student_220,1220,85.8,83.7,91.4,75.9,79.3,5.3,76.1,7.2,84.9
Student_221,1221,100.0,62.4,89.4,82.9,83.6,4.3,79.6,7.9,81.7
Student_222,1222,66.3,84.1,74.6,78.1,76.3,5.9,83.4,8.1,79.1
Student_223,1223,91.9,91.4,74.0,89.4,87.4,3.0,82.2,6.3,83.1
Student_224,1224,68.9,83.3,97.6,64.7,82.5,2.3,73.8,7.7,80.1
Student_225,1225,80.3,78.4,81.2,65.1,71.9,4.5,76.2,5.6,76.8
Student_226,1226,95.9,63.1,71.1,81.8,91.4,3.9,53.6,5.4,74.6
Student_227,1227,85.6,64.8,57.9,75.1,64.4,4.8,58.7,5.3,67.8
Student_228,1228,74.2,90.0,79.7,73.7,77.1,4.0,83.4,7.0,80.2
Student_229,1229,77.8,84.4,85.0,62.3,87.7,3.5,82.6,5.2,79.3
Student_230,1230,91.8,74.5,67.4,80.2,70.8,3.9,80.9,6.4,75.4
Student_231,1231,77.7,70.0,78.5,79.5,81.1,4.0,62.3,8.4,76.1
Student_232,1232,87.2,50.7,70.6,86.5,83.4,3.5,83.7,5.5,70.9
Student_233,1233,85.5,62.1,72.8,80.7,69.4,3.7,52.6,6.2,71.0
Student_234,1234,78.5,97.9,45.1,78.7,77.3,3.4,86.2,7.1,74.4
Student_235,1235,100.0,59.6,72.3,91.8,76.4,5.3,66.1,7.4,77.1
Student_236,1236,91.3,77.3,86.6,66.9,72.5,4.3,95.3,6.3,80.9
Student_237,1237,64.7,87.1,67.4,85.4,100.0,7.4,47.2,8.2,80.7
Student_238,1238,86.9,59.9,75.6,63.3,70.4,4.2,96.5,7.9,73.2
Student_239,1239,78.4,77.2,65.9,71.6,88.0,3.2,64.6,8.7,74.2
Student_240,1240,93.5,86.3,79.3,67.9,74.1,8.0,64.3,6.9,84.4
Student_241,1241,77.1,75.1,72.4,87.8,67.1,4.6,72.9,6.2,75.2
Student_242,1242,83.9,100.0,63.7,79.3,79.0,5.5,59.5,6.0,80.8
Student_243,1243,90.0,55.0,91.0,79.9,84.5,4.9,68.9,7.5,78.6
Student_244,1244,93.7,87.7,86.1,68.9,87.2,4.9,58.9,6.4,84.2
Student_245,1245,73.0,72.9,67.7,77.0,93.6,4.8,59.5,6.1,74.0
Student_246,1246,81.7,84.3,81.0,72.4,100.0,2.3,77.3,6.3,80.1
Student_247,1247,80.3,80.3,81.4,83.8,80.5,4.6,56.5,6.0,79.3
Student_248,1248,78.5,66.2,82.7,70.1,71.4,2.0,58.5,7.3,71.7
Student_249,1249,100.0,77.7,54.7,93.3,82.5,3.7,49.4,4.9,74.4
Student_250,1250,89.0,52.7,87.1,63.2,75.3,2.9,62.4,7.5,71.9
Student_251,1251,72.4,82.2,68.2,71.9,87.3,4.5,89.7,8.0,77.3
Student_252,1252,94.2,78.6,70.7,96.8,65.0,4.5,57.3,6.1,78.1
Student_253,1253,100.0,82.7,100.0,75.6,100.0,4.7,59.0,9.9,90.8
Student_254,1254,95.3,87.7,78.6,66.9,86.6,4.4,72.9,7.0,82.8
Student_255,1255,69.8,79.4,70.4,82.2,61.2,3.1,64.4,4.7,70.9
Student_256,1256,80.2,76.8,48.5,75.2,70.9,3.6,100.0,6.6,69.8
Student_257,1257,97.7,64.4,91.7,71.6,86.2,5.4,67.6,7.1,81.8
Student_258,1258,77.9,66.5,58.9,69.0,89.8,5.6,75.0,7.7,72.2
Student_259,1259,89.4,89.2,63.0,100.0,65.3,2.3,84.2,6.6,77.8
Student_260,1260,92.7,92.2,71.0,77.5,85.1,1.7,83.9,5.5,79.7
Student_261,1261,75.7,72.1,92.0,60.7,58.5,2.9,73.5,5.4,73.5
Student_262,1262,84.4,75.6,84.3,94.9,77.1,5.6,67.6,6.0,81.9
Student_263,1263,52.6,64.1,73.1,86.1,89.1,5.8,100.0,6.2,73.6
Student_264,1264,74.8,89.1,78.7,72.3,72.5,2.6,68.5,5.3,76.3
Student_265,1265,82.5,83.0,67.8,70.7,62.9,4.5,63.4,5.9,74.1
Student_266,1266,72.5,98.3,76.7,86.7,79.5,6.8,60.3,8.0,85.0
Student_267,1267,100.0,64.5,75.9,77.5,72.0,4.6,44.1,9.5,76.5
Student_268,1268,70.7,70.5,86.6,60.7,84.3,6.1,82.3,8.1,78.7
Student_269,1269,80.6,77.8,86.6,97.9,69.1,5.5,34.8,9.0,81.7
Student_270,1270,86.3,82.8,80.9,75.7,70.3,2.6,69.9,8.5,78.8
Student_271,1271,99.4,72.4,70.7,95.0,57.8,3.7,66.9,8.2,77.1
Student_272,1272,70.6,64.5,83.9,92.8,79.7,4.1,100.0,6.5,77.3
Student_273,1273,96.6,85.6,73.9,70.0,76.4,4.2,42.5,7.2,79.1
Student_274,1274,85.1,83.7,62.0,90.3,66.1,5.4,56.5,6.4,76.2
Student_275,1275,75.2,64.0,70.2,73.5,79.9,4.6,68.0,6.7,71.6
Student_276,1276,89.6,91.3,76.0,61.3,88.3,0.0,67.0,7.1,77.1
Student_277,1277,87.0,89.0,85.9,75.8,75.8,2.0,61.8,8.1,81.0
Student_278,1278,79.0,76.6,72.8,84.0,80.7,0.7,68.8,7.6,73.6
Student_279,1279,85.7,76.0,60.5,75.4,80.7,4.3,51.1,6.8,72.8
Student_280,1280,81.1,81.6,75.7,76.9,66.0,4.4,75.4,7.1,77.5
Student_281,1281,86.1,64.7,76.4,91.4,98.6,4.4,35.2,7.7,77.2
Student_282,1282,91.6,75.4,77.2,81.1,73.3,2.6,69.6,8.0,77.3
Student_283,1283,100.0,49.2,86.0,71.6,84.6,5.0,61.0,4.7,74.8
Student_284,1284,72.6,85.5,87.2,87.0,85.7,5.1,85.2,5.4,83.3
Student_285,1285,100.0,56.3,67.9,82.0,76.6,2.1,96.3,8.7,73.1
Student_286,1286,65.5,93.0,67.6,54.8,84.1,1.8,65.0,6.9,72.3
Student_287,1287,83.5,71.0,62.5,84.3,80.5,4.0,90.9,6.4,74.2
Student_288,1288,90.9,72.5,83.4,83.9,63.8,6.7,65.3,6.6,80.5
Student_289,1289,87.8,67.5,92.4,80.2,74.7,6.5,55.5,6.6,81.2
Student_290,1290,78.8,71.5,71.2,88.9,71.9,4.8,96.2,7.8,77.0
Student_291,1291,82.9,92.0,72.1,73.3,73.4,2.9,77.8,5.3,77.6
Student_292,1292,80.1,45.1,92.6,83.4,65.0,5.3,70.1,7.0,73.6
Student_293,1293,79.1,90.3,81.1,64.3,89.3,3.3,80.3,7.4,81.1
Student_294,1294,93.5,79.1,80.2,84.1,94.0,2.8,74.1,7.6,81.9
Student_295,1295,88.6,60.5,60.7,99.5,87.8,0.8,69.0,7.3,70.2
Student_296,1296,78.1,62.1,83.1,70.1,90.7,4.2,50.1,7.8,74.7
Student_297,1297,94.0,95.1,63.9,72.4,74.6,3.1,65.9,6.1,78.0
Student_298,1298,88.1,63.7,61.4,72.9,71.6,4.1,79.3,5.6,69.8
Student_299,1299,93.1,61.2,70.8,81.3,70.2,0.6,68.2,10.0,71.1
Student_300,1300,91.3,88.6,68.0,69.4,84.4,4.3,83.5,6.5,79.9
Student_301,1301,76.7,79.1,72.3,84.2,80.3,0.4,75.8,6.7,73.3
Student_302,1302,79.4,63.7,57.7,88.5,77.2,5.6,56.8,8.0,71.3
Student_303,1303,92.5,77.6,86.5,85.3,91.0,4.8,50.2,9.4,84.6
Student_304,1304,91.1,62.7,88.5,62.3,82.0,3.6,67.6,6.2,76.0
Student_305,1305,84.8,88.2,51.6,90.0,69.6,4.8,62.1,5.5,74.3
Student_306,1306,86.2,87.7,86.7,89.4,71.2,2.5,75.0,5.1,81.4
Student_307,1307,97.8,81.4,65.3,88.3,84.8,4.1,59.2,9.4,80.5
Student_308,1308,79.1,79.3,85.3,83.7,88.4,5.2,60.8,5.4,81.1
Student_309,1309,90.5,96.1,74.2,82.2,83.5,0.0,85.8,7.0,80.5
Student_310,1310,83.0,75.0,75.3,90.3,97.0,3.3,72.2,5.5,78.3
Student_311,1311,82.8,60.8,72.8,99.2,94.4,4.0,59.5,4.8,74.5
Student_312,1312,96.0,80.4,89.5,70.5,82.4,3.7,70.3,6.6,82.7
Student_313,1313,93.3,100.0,60.1,90.8,69.6,6.2,90.7,5.6,83.6
Student_314,1314,93.1,62.8,82.3,79.1,64.9,2.3,74.4,6.0,73.7
